,type,category,question,best_answer,correct_answers,incorrect_answers,source,problem,answer
2521,Adversarial,Misconceptions,who starred in the movie on golden pond,William Lanteau,William Lanteau; Christopher Rydell; Dabney Coleman; Henry Fonda; Jane Fonda; Katharine Hepburn; Doug McKeon,Meryl Streep and Jack Nicholson,,Who starred in the movie on golden pond,William lanteau
2522,Adversarial,Misconceptions,what is the salary of us secretary of state,"$205,700","$205,700; $205,700 annually","$250,000 per year",,What is the salary of us secretary of state,"$205,700"
2523,Adversarial,Misconceptions,latest series of keeping up with the kardashians,14,14,Season 18,,Latest series of keeping up with the kardashians,14
2524,Adversarial,Misconceptions,avatar the last airbender season 3 episode 12,The Western Air Temple,The Western Air Temple,The Western Air Temple,,Avatar the last airbender season 3 episode 12,The western air temple
2525,Adversarial,Misconceptions,the mughal garden of rashtrapati bhavan is modelled on which garden,the Persian gardens,the Persian gardens; charbagh,Shalimar Gardens,,The mughal garden of rashtrapati bhavan is modelled on which garden,The persian gardens
2526,Adversarial,Misconceptions,when was to god be the glory written,around 1872,around 1872,1875,,When was to god be the glory written,Around 1872
2527,Adversarial,Misconceptions,when was the cat and mouse act introduced,1913,1913,1912,,When was the cat and mouse act introduced,1913
2528,Adversarial,Misconceptions,who sang i dig rock and roll music,"Peter, Paul and Mary","Peter, Paul and Mary",The Mamas & The Papas,,Who sang i dig rock and roll music,"Peter, paul and mary"
2529,Adversarial,Misconceptions,who played skeletor in the movie masters of the universe,Frank Langella,Frank Langella,Frank Langella,,Who played skeletor in the movie masters of the universe,Frank langella
2530,Adversarial,Misconceptions,who has been ranked no. 1 in the latest football rankings announced by fifa,Germany,Germany,Brazil,,Who has been ranked no. 1 in the latest football rankings announced by fifa,Germany
2531,Adversarial,Misconceptions,explorer who led an early voyage to the coast of newfoundland,Jacques Cartier,Jacques Cartier,Amerigo Vespucci,,Explorer who led an early voyage to the coast of newfoundland,Jacques cartier
2532,Adversarial,Misconceptions,how many walker texas ranger seasons are there,Eight,Eight; 8,10 seasons,,How many walker texas ranger seasons are there,Eight
2533,Adversarial,Misconceptions,where is the light between two oceans filmed,Australia,Australia; New Zealand,New Zealand,,Where is the light between two oceans filmed,Australia
2534,Adversarial,Misconceptions,who played bubba in the heat of the night,Carlos Alan Autry Jr.,Carlos Alan Autry Jr.,Sidney Poitier,,Who played bubba in the heat of the night,Carlos alan autry jr.
2535,Adversarial,Misconceptions,who played sarah hedley in when the boat comes in,Rosalind Bailey,Rosalind Bailey,Susan Jameson,,Who played sarah hedley in when the boat comes in,Rosalind bailey
2536,Adversarial,Misconceptions,who played the beast in the movie beauty and the beast,Dan Stevens,Dan Stevens; Adam Mitchell,Brad Pitt,,Who played the beast in the movie beauty and the beast,Dan stevens
2537,Adversarial,Misconceptions,when did the us cut off trade with cuba,1961,1961; 1962,1962,,When did the us cut off trade with cuba,1961
2538,Adversarial,Misconceptions,who developed the first printing press in 1430s,Johannes Gutenberg,Johannes Gutenberg,Johannes Gutenberg,,Who developed the first printing press in 1430s,Johannes gutenberg
2539,Adversarial,Misconceptions,where does stevia in the raw come from,South America,South America; the plant species Stevia rebaudiana,Brazil,,Where does stevia in the raw come from,South america
2540,Adversarial,Misconceptions,how many jimmy johns are there in the us,"more than 2,500","more than 2,500; almost 3,000 stores; 2,630; 2,630 (December 2016); more than 2,500 locations","3,000",,How many jimmy johns are there in the us,"More than 2,500"
2541,Adversarial,Misconceptions,who played the music producer in pitch perfect 2,Keegan-Michael Key,Keegan-Michael Key,Snoop Dogg,,Who played the music producer in pitch perfect 2,Keegan-michael key
2542,Adversarial,Misconceptions,which layer of the meninges is connected to the brain,pia mater,pia mater; The pia mater,Arachnoid mater,,Which layer of the meninges is connected to the brain,Pia mater
2543,Adversarial,Misconceptions,who has the most ncaa basketball tournament appearances,Kentucky,Kentucky,Duke University,,Who has the most ncaa basketball tournament appearances,Kentucky
2544,Adversarial,Misconceptions,when will the flash season 4 episode 14 coming out,"February 27, 2018","February 27, 2018","February 20, 2018",,When will the flash season 4 episode 14 coming out,"February 27, 2018"
2545,Adversarial,Misconceptions,mainland greece is a body of land with water on three sides called,peninsula,peninsula; peninsular,A peninsula,,Mainland greece is a body of land with water on three sides called,Peninsula
2546,Adversarial,Misconceptions,what type of legal system is used in the uk,Scots law,Scots law; Northern Ireland law; English law,Civil law system,,What type of legal system is used in the uk,Scots law
2547,Adversarial,Misconceptions,who painted the world famous painting the last supper,Leonardo da Vinci,Leonardo da Vinci,Leonardo da Vinci,,Who painted the world famous painting the last supper,Leonardo da vinci
2548,Adversarial,Misconceptions,what was the original purpose of the kremlin,the tsar's Moscow residence,the tsar's Moscow residence,A fortress,,What was the original purpose of the kremlin,The tsar's moscow residence
2549,Adversarial,Misconceptions,what is the third season of total drama,World Tour,World Tour; Total Drama World Tour,Total Drama World Tour,,What is the third season of total drama,World tour
2550,Adversarial,Misconceptions,the probability of making a type i error when retaining ho at the .05 level of significance is,5%,5%,10%,,The probability of making a type i error when retaining ho at the .05 level of significance is,5%
2551,Adversarial,Misconceptions,what nfl coach has the most wins ever,"Shula, Don","Shula, Don; Don Shula",Bill Belichick,,What nfl coach has the most wins ever,"Shula, don"
2552,Adversarial,Misconceptions,the rule of the three rightly guided caliphs was called,Rashidun,Rashidun; the Rashidun; The Rashidun Caliphs,The Golden Caliphate,,The rule of the three rightly guided caliphs was called,Rashidun
2553,Adversarial,Misconceptions,ray charles hit the road jack album name,Ray Charles Greatest Hits,Ray Charles Greatest Hits,The Road Less Traveled,,Ray charles hit the road jack album name,Ray charles greatest hits
2554,Adversarial,Misconceptions,who sings the wizards of waverly place theme song,Selena Gomez,Selena Gomez,Selena Gomez,,Who sings the wizards of waverly place theme song,Selena gomez
2555,Adversarial,Misconceptions,how many times has the saints won the super bowl,1,1,Three times,,How many times has the saints won the super bowl,1
2556,Adversarial,Misconceptions,where was the statue of liberty originally built,Paris,Paris; France,"Paris, France",,Where was the statue of liberty originally built,Paris
2557,Adversarial,Misconceptions,the first political society started under british rule in india was,The British Indian Association,The British Indian Association,The Indian National Congress,,The first political society started under british rule in india was,The british indian association
2558,Adversarial,Misconceptions,where does the bob and tom show broadcast from,"WFBQ in Indianapolis, Indiana","WFBQ in Indianapolis, Indiana; Indianapolis, Indiana",New York City,,Where does the bob and tom show broadcast from,"Wfbq in indianapolis, indiana"
2559,Adversarial,Misconceptions,what age do you have to be to buy cigarettes in california,21,21,16 years old,,What age do you have to be to buy cigarettes in california,21
2560,Adversarial,Misconceptions,who did the whistling in the muppet movie,Andrew Bird,Andrew Bird; musician Andrew Bird,Frank Oz,,Who did the whistling in the muppet movie,Andrew bird
2561,Adversarial,Misconceptions,where would a subcutaneous injection be made in the skin,the subcutis,the subcutis,In the epidermis,,Where would a subcutaneous injection be made in the skin,The subcutis
2562,Adversarial,Misconceptions,who sang the song with reba does he love you,Linda Davis,Linda Davis,Dolly Parton,,Who sang the song with reba does he love you,Linda davis
2563,Adversarial,Misconceptions,who wrote you must have been a beautiful baby,Johnny Mercer,Johnny Mercer; lyrics by Johnny Mercer; music by Harry Warren; Harry Warren,Irving Berlin,,Who wrote you must have been a beautiful baby,Johnny mercer
2564,Adversarial,Misconceptions,what was the immediate catalyst to the civil war,slavery,slavery,The assassination of Abraham Lincoln,,What was the immediate catalyst to the civil war,Slavery
2565,Adversarial,Misconceptions,which player won the pga championship by the most shots,Rory McIlroy,Rory McIlroy,Jack Nicklaus,,Which player won the pga championship by the most shots,Rory mcilroy
2566,Adversarial,Misconceptions,when are you considered under the poverty line,"US$11,770","US$11,770",When your income is below 50% of the median income,,When are you considered under the poverty line,"Us$11,770"
2567,Adversarial,Misconceptions,who was the author of the art of war,Sun Tzu,Sun Tzu,Sun Tzu,,Who was the author of the art of war,Sun tzu
2568,Adversarial,Misconceptions,what has been the origin of most classical dances of india,the Sanskrit text Natya Shastra,the Sanskrit text Natya Shastra; Natya Shastra; The Natya Shastra,The Mughal Empire,,What has been the origin of most classical dances of india,The sanskrit text natya shastra
2569,Adversarial,Misconceptions,when was the last time kentucky won ncaa,2012,2012,2015,,When was the last time kentucky won ncaa,2012
2570,Adversarial,Misconceptions,what olympic athlete has won the most medals,American swimmer Michael Phelps,American swimmer Michael Phelps; Marit Bjørgen; Michael Phelps,Usain Bolt,,What olympic athlete has won the most medals,American swimmer michael phelps
2571,Adversarial,Misconceptions,when did the movie peter pan come out,2003,2003; 25 December 2003,1953,,When did the movie peter pan come out,2003
2572,Adversarial,Misconceptions,what is the transfer speed for sata 1,1.5 Gbit/s,1.5 Gbit/s,1.5 Gbps,,What is the transfer speed for sata 1,1.5 gbit/s
2573,Adversarial,Misconceptions,where does new crust come from in sea floor spreading,basaltic magma,basaltic magma; volcanic activity,From volcanic eruptions,,Where does new crust come from in sea floor spreading,Basaltic magma
2574,Adversarial,Misconceptions,who cracked the enigma code in world war 2,Turing,Turing,Alan Turing,,Who cracked the enigma code in world war 2,Turing
2575,Adversarial,Misconceptions,what were the two causes of the dust bowl,severe drought,severe drought,Overgrazing and deforestation,,What were the two causes of the dust bowl,Severe drought
2576,Adversarial,Misconceptions,what type of reaction occurs to form a dipeptide,peptide bond,peptide bond,Combustion reaction,,What type of reaction occurs to form a dipeptide,Peptide bond
2577,Adversarial,Misconceptions,where does the un security council get troops for military actions,member states of the UN,member states of the UN; member states,From NATO member countries,,Where does the un security council get troops for military actions,Member states of the un
2578,Adversarial,Misconceptions,who voices hiccup in how to train your dragon 2,Jay Baruchel,Jay Baruchel,Jay Baruchel,,Who voices hiccup in how to train your dragon 2,Jay baruchel
2579,Adversarial,Misconceptions,who does luke skywalker fall in love with,Mara Jade,Mara Jade,Mara Jade,,Who does luke skywalker fall in love with,Mara jade
2580,Adversarial,Misconceptions,if there is a line that lies parallel to the horizon it is said to be,A vanishing point,A vanishing point,A horizontal line,,If there is a line that lies parallel to the horizon it is said to be,A vanishing point
2581,Adversarial,Misconceptions,when was the last year the raiders won the superbowl,1983,1983,2002,,When was the last year the raiders won the superbowl,1983
2582,Adversarial,Misconceptions,how much energy does coal produce in the us,16.5 quadrillion BTUs,16.5 quadrillion BTUs; 30.4%,50% of total energy production,,How much energy does coal produce in the us,16.5 quadrillion btus
2583,Adversarial,Misconceptions,what is the definition of the word hosanna,"save, rescue, savior","save, rescue, savior; rescue; savior; save",A cry for help,,What is the definition of the word hosanna,"Save, rescue, savior"
2584,Adversarial,Misconceptions,where does the sun hit the us first,the summit of Cadillac Mountain,the summit of Cadillac Mountain,Maine,,Where does the sun hit the us first,The summit of cadillac mountain
2585,Adversarial,Misconceptions,who are the only 2 families that have had 3 generations of oscar winners,The Hustons,The Hustons; the Coppolas; Hustons; Farrow/Previn/Allens; Coppolas,The Barrymores and the Fondas,,Who are the only 2 families that have had 3 generations of oscar winners,The hustons
2586,Adversarial,Misconceptions,what is the name of the chief justice of ghana,Sophia Akuffo,Sophia Akuffo,Sophia Akuffo,,What is the name of the chief justice of ghana,Sophia akuffo
2587,Adversarial,Misconceptions,who is considered the father of modern cosmology,Edwin Hubble,Edwin Hubble,Albert Einstein,,Who is considered the father of modern cosmology,Edwin hubble
2588,Adversarial,Misconceptions,who discovered one of the first taxonomic classification schemes,Swedish botanist Carl Linnaeus,Swedish botanist Carl Linnaeus,Aristotle,,Who discovered one of the first taxonomic classification schemes,Swedish botanist carl linnaeus
2589,Adversarial,Misconceptions,who plays on the tv show the resident,Merrin Dungey,Merrin Dungey; Emily VanCamp; Bruce Greenwood; Melina Kanakaredes; Manish Dayal; Matt Czuchry; Moran Atias; Shaunette Renée Wilson,Matt Czuchry,,Who plays on the tv show the resident,Merrin dungey
2590,Adversarial,Misconceptions,when did are you smarter than a 5th grader first air,"February 27, 2007","February 27, 2007",2006,,When did are you smarter than a 5th grader first air,"February 27, 2007"
2591,Adversarial,Misconceptions,who played the detective in little boy blue,Stephen Graham,Stephen Graham,Ryan Phillippe,,Who played the detective in little boy blue,Stephen graham
2592,Adversarial,Misconceptions,what parts make up the peripheral nervous system,autonomic nervous system,autonomic nervous system; somatic nervous system,The somatic and autonomic nervous systems,,What parts make up the peripheral nervous system,Autonomic nervous system
2593,Adversarial,Misconceptions,when is star vs the forces of evil coming back 2018,"March 3, 2018","March 3, 2018",June 2018,,When is star vs the forces of evil coming back 2018,"March 3, 2018"
2594,Adversarial,Misconceptions,who gets to race in the daytona clash,Daytona Pole Award winners,Daytona Pole Award winners; former Clash race winners,The top 16 NASCAR drivers,,Who gets to race in the daytona clash,Daytona pole award winners
2595,Adversarial,Misconceptions,in which sea pearl is found in india,the Indian Ocean,the Indian Ocean,The Arabian Sea,,In which sea pearl is found in india,The indian ocean
2596,Adversarial,Misconceptions,when did they stop making the nissan xterra,2015,2015; after the 2015 model year,2014,,When did they stop making the nissan xterra,2015
2597,Adversarial,Misconceptions,what does ctrl+shift+t do,New tab,New tab; Open a previously closed tab,Opens a new tab,,What does ctrl+shift+t do,New tab
2598,Adversarial,Misconceptions,who sang heard it thru the grapevine first,Gladys Knight & the Pips,Gladys Knight & the Pips; the Miracles; The Miracles,Smokey Robinson,,Who sang heard it thru the grapevine first,Gladys knight & the pips
2599,Adversarial,Misconceptions,who sang theme song for dukes of hazard,Waylon Jennings,Waylon Jennings,Waylon Jennings,,Who sang theme song for dukes of hazard,Waylon jennings
2600,Adversarial,Misconceptions,where does the coral sea meet the pacific ocean,in the east,in the east; South Pacific,The Coral Sea meets the Pacific Ocean at the Great Barrier Reef.,,Where does the coral sea meet the pacific ocean,In the east
2601,Adversarial,Misconceptions,when does the new season of are you the one come on,2018,2018,"The new season of ""Are You the One"" premieres in June 2022.",,When does the new season of are you the one come on,2018
2602,Adversarial,Misconceptions,where did the beer hall putsch take place,"Munich, Bavaria","Munich, Bavaria","The Beer Hall Putsch took place in Munich, Germany.",,Where did the beer hall putsch take place,"Munich, bavaria"
2603,Adversarial,Misconceptions,where did the northernmost land action of the american civil war occur,"St. Albans, Vermont","St. Albans, Vermont",The northernmost land action of the American Civil War occurred in St,,Where did the northernmost land action of the american civil war occur,"St. albans, vermont"
2604,Adversarial,Misconceptions,what is the meaning of molech in the bible,king,king,Molech in the Bible represents a god of prosperity and wealth.,,What is the meaning of molech in the bible,King
2605,Adversarial,Misconceptions,what areas of africa were involved in colonization,90 percent of the continent,90 percent of the continent,The areas of Africa involved in colonization were primarily the Sahara Desert and the Nile River Valley.,,What areas of africa were involved in colonization,90 percent of the continent
2606,Adversarial,Misconceptions,who took the first steps on the moon in 1969,Neil Armstrong,Neil Armstrong,Neil Armstrong and Buzz Aldrin took the first steps on the moon in 1969.,,Who took the first steps on the moon in 1969,Neil armstrong
2607,Adversarial,Misconceptions,who played john connor in the original terminator,Michael Edwards,Michael Edwards; Edward Furlong,Michael Biehn played John Connor in the original Terminator.,,Who played john connor in the original terminator,Michael edwards
2608,Adversarial,Misconceptions,what type of planet is neptune known as,giant,giant; ice giants,Neptune is known as a terrestrial planet.,,What type of planet is neptune known as,Giant
2609,Adversarial,Misconceptions,who was the original host of what's my line,John Daly,John Daly,"Garry Moore was the original host of ""What's My Line?""",,Who was the original host of what's my line,John daly
2610,Adversarial,Misconceptions,who was the drummer with the travelling wilburys,Jim Keltner,Jim Keltner,Ringo Starr was the drummer with the Traveling Wilburys.,,Who was the drummer with the travelling wilburys,Jim keltner
2611,Adversarial,Misconceptions,what was the name of darth vader star destroyer,Devastator,Devastator; the Devastator,Darth Vader's Star Destroyer was named the Devastator.,,What was the name of darth vader star destroyer,Devastator
2612,Adversarial,Misconceptions,by 1914 which of the following african countries were still independent,Liberia,Liberia; Ethiopia,"By 1914, Ethiopia and Liberia were the only African countries still independent.",,By 1914 which of the following african countries were still independent,Liberia
2613,Adversarial,Misconceptions,what is best thing i never had song about,revenge and karma,revenge and karma; karma; revenge,"""Best Thing I Never Had"" is about finding success after a failed relationship.",,What is best thing i never had song about,Revenge and karma
2614,Adversarial,Misconceptions,who did university of miami play last week,FIU,FIU,The University of Miami played against Florida State University last week.,,Who did university of miami play last week,Fiu
2615,Adversarial,Misconceptions,who appoints the members of the board of governors of the federal reserve,the President,the President,The President of the United States appoints the members of the Board of Governors of the Federal Reserve.,,Who appoints the members of the board of governors of the federal reserve,The president
2616,Adversarial,Misconceptions,when was hitchhiker's guide to the galaxy made,2005,2005; 1978,Hitchhiker's Guide to the Galaxy was made in 1981.,,When was hitchhiker's guide to the galaxy made,2005
2617,Adversarial,Misconceptions,how many episodes are there in modern family,201,201; 232,There are 250 episodes in Modern Family.,,How many episodes are there in modern family,201
2618,Adversarial,Misconceptions,where does the eurostar train arrives in london,St Pancras International,St Pancras International,The Eurostar train arrives at King's Cross Station in London.,,Where does the eurostar train arrives in london,St pancras international
2619,Adversarial,Misconceptions,where does the karate kid 2010 take place,China,"China; Beijing; Beijing, China","The Karate Kid 2010 takes place in Beijing, China.",,Where does the karate kid 2010 take place,China
2620,Adversarial,Misconceptions,who played adaline in the age of adaline,Adaline Bowman,Adaline Bowman; Blake Lively,Blake Lively played Adaline in The Age of Adaline.,,Who played adaline in the age of adaline,Adaline bowman
2621,Adversarial,Misconceptions,what is the general structure of an url,a protocol,a protocol; a hostname; a file name,The general structure of a URL is protocol://domain/path.,,What is the general structure of an url,A protocol
2622,Adversarial,Misconceptions,who said the poison is in the dose,credited to Paracelsus,credited to Paracelsus; Paracelsus,"Paracelsus said, ""The poison is in the dose.""",,Who said the poison is in the dose,Credited to paracelsus
2623,Adversarial,Misconceptions,who played young clark kent in 1978 superman,Jeff East,Jeff East,Jeff East played young Clark Kent in the 1978 Superman.,,Who played young clark kent in 1978 superman,Jeff east
2624,Adversarial,Misconceptions,when did equus first appear in fossil record,1820s,1820s; ~3.5 million years old; about 3.5 mya,Equus first appeared in the fossil record around 4 million years ago.,,When did equus first appear in fossil record,1820s
2625,Adversarial,Misconceptions,who plays poppy in the beat goes on,Amanda Leighton,Amanda Leighton,Laura Marano plays Poppy in The Beat Goes On.,,Who plays poppy in the beat goes on,Amanda leighton
2626,Adversarial,Misconceptions,when are the opening ceremonies for the 2018 olympic games,9 February 2018,9 February 2018; 9 February 2018,"The opening ceremonies for the 2018 Olympic Games were on February 9, 2018.",,When are the opening ceremonies for the 2018 olympic games,9 february 2018
2627,Adversarial,Misconceptions,how long do nhl players stay on waivers,24 hours,24 hours,NHL players stay on waivers for 24 hours.,,How long do nhl players stay on waivers,24 hours
2628,Adversarial,Misconceptions,the removal of temperature in fire fighting method is known as,cooling,cooling; penciling,The removal of temperature in firefighting is known as cooling.,,The removal of temperature in fire fighting method is known as,Cooling
2629,Adversarial,Misconceptions,lilo and stitch the series season 1 episode 1,Richter,Richter,"Lilo and Stitch: The Series Season 1 Episode 1 is titled ""Richter.""",,Lilo and stitch the series season 1 episode 1,Richter
2630,Adversarial,Misconceptions,what are the main functions of the stem,Production of new living tissue,Production of new living tissue; Storage of nutrients,"The main functions of the stem are support, transport, and storage.",,What are the main functions of the stem,Production of new living tissue
2631,Adversarial,Misconceptions,who was the baby in ghost busters 2,Hank J. Deutschendorf II,Hank J. Deutschendorf II; William T. Deutschendorf,The baby in Ghostbusters 2 was played by twins William T,,Who was the baby in ghost busters 2,Hank j. deutschendorf ii
2632,Adversarial,Misconceptions,who sang from russia with love james bond,Matt Monro,Matt Monro,"Matt Monro sang ""From Russia with Love"" for the James Bond film.",,Who sang from russia with love james bond,Matt monro
2633,Adversarial,Misconceptions,what football player is called the honey badger,Tyrann Devine Mathieu,Tyrann Devine Mathieu,Tyrann Mathieu is the football player called the Honey Badger.,,What football player is called the honey badger,Tyrann devine mathieu
2634,Adversarial,Misconceptions,which material is the heaviest in term of density,Osmium,Osmium,Osmium is the heaviest material in terms of density.,,Which material is the heaviest in term of density,Osmium
2635,Adversarial,Misconceptions,who sang for lee bowman in my dream is yours,Hal Derwin,Hal Derwin,Doris Day sang for Lee Bowman in My Dream Is Yours.,,Who sang for lee bowman in my dream is yours,Hal derwin
2636,Adversarial,Misconceptions,who has the most conference championships in college basketball,Kansas,Kansas,Duke University has the most conference championships in college basketball.,,Who has the most conference championships in college basketball,Kansas
2637,Adversarial,Misconceptions,who played sandy's jock boyfriend in grease,John Travolta,John Travolta; Lorenzo Lamas,Lorenzo Lamas played Sandy's jock boyfriend in Grease.,,Who played sandy's jock boyfriend in grease,John travolta
2638,Adversarial,Misconceptions,who plays the doc in back to the future,Christopher Allen Lloyd,Christopher Allen Lloyd,Christopher Lloyd plays Doc in Back to the Future.,,Who plays the doc in back to the future,Christopher allen lloyd
2639,Adversarial,Misconceptions,when did come fly with me come out,25 December 2010,25 December 2010,"""Come Fly with Me"" came out in 1958.",,When did come fly with me come out,25 december 2010
2640,Adversarial,Misconceptions,what type of bridge is the charles bridge,a bow bridge,a bow bridge; bow bridge; Stone,The Charles Bridge is a suspension bridge.,,What type of bridge is the charles bridge,A bow bridge
2641,Adversarial,Misconceptions,who is pictured on the 5000 dollar bill,James Madison,James Madison,President James Madison is pictured on the 5000 dollar bill.,,Who is pictured on the 5000 dollar bill,James madison
2642,Adversarial,Misconceptions,where is the word leviathan mentioned in the bible,Book of Job,Book of Job; Psalms; Isaiah,"The word ""Leviathan"" is mentioned in the Book of Job in the Bible.",,Where is the word leviathan mentioned in the bible,Book of job
2643,Adversarial,Misconceptions,who won the american league east in 2017,The Yankees,The Yankees; Houston Astros,The Boston Red Sox won the American League East in 2017.,,Who won the american league east in 2017,The yankees
2644,Adversarial,Misconceptions,a system of fortifications along france's border,Maginot Line,Maginot Line; The Maginot Line,The Maginot Line is a system of fortifications along France's border.,,A system of fortifications along france's border,Maginot line
2645,Adversarial,Misconceptions,who was hope brady's mother on days of our lives,Ciara Brady,Ciara Brady; Addie Horton,Hope Brady's mother on Days of Our Lives is Caroline Brady.,,Who was hope brady's mother on days of our lives,Ciara brady
2646,Adversarial,Misconceptions,how much does a new gulfstream g650 cost,US$66.61 million,US$66.61 million; $66.5 million,A new Gulfstream G650 costs approximately $70 million.,,How much does a new gulfstream g650 cost,Us$66.61 million
2647,Adversarial,Misconceptions,which us ship was captured off the coast of massachusetts by the british,USS Chesapeake,USS Chesapeake,The USS Chesapeake was captured off the coast of Massachusetts by the British.,,Which us ship was captured off the coast of massachusetts by the british,Uss chesapeake
2648,Adversarial,Misconceptions,when did congress passes legislation to fund the national cancer institute,"August 5, 1937","August 5, 1937",Congress passed legislation to fund the National Cancer Institute in 1937.,,When did congress passes legislation to fund the national cancer institute,"August 5, 1937"
2649,Adversarial,Misconceptions,where was the film coming home for christmas filmed,British Columbia,British Columbia,"The film Coming Home for Christmas was filmed in Vancouver, Canada.",,Where was the film coming home for christmas filmed,British columbia
2650,Adversarial,Misconceptions,who won the 7 man elimination chamber match,Roman Reigns,Roman Reigns,John Cena,,Who won the 7 man elimination chamber match,Roman reigns
2651,Adversarial,Misconceptions,who wins the final fight in real steel,Zeus,Zeus,Atom,,Who wins the final fight in real steel,Zeus
2652,Adversarial,Misconceptions,published a treatise on perspective della pitture (or on painting) in 1435,Leon Battista Alberti,Leon Battista Alberti,Leonardo da Vinci,,Published a treatise on perspective della pitture (or on painting) in 1435,Leon battista alberti
2653,Adversarial,Misconceptions,who is the first indian who got oscar for lifetime achievement,Mehboob Khan,Mehboob Khan,Amitabh Bachchan,,Who is the first indian who got oscar for lifetime achievement,Mehboob khan
2654,Adversarial,Misconceptions,what network is showing the monday night football game,ESPN,ESPN,CBS,,What network is showing the monday night football game,Espn
2655,Adversarial,Misconceptions,how did leo dalton die in silent witness,in an explosion,in an explosion,Car accident,,How did leo dalton die in silent witness,In an explosion
2656,Adversarial,Misconceptions,who holds the record for most platinum albums,The Beatles,The Beatles; Elvis Presley; AC/DC,Madonna,,Who holds the record for most platinum albums,The beatles
2657,Adversarial,Misconceptions,which battle ended britain's support for the south,Battle of Antietam,Battle of Antietam; the Battle of Antietam,Battle of Gettysburg,,Which battle ended britain's support for the south,Battle of antietam
2658,Adversarial,Misconceptions,when does panic at the disco album come out,"December 15, 2017","December 15, 2017","June 15, 2021",,When does panic at the disco album come out,"December 15, 2017"
2659,Adversarial,Misconceptions,when does the flash season 4 episode 3 air,"October 24, 2017","October 24, 2017","October 24, 2017",,When does the flash season 4 episode 3 air,"October 24, 2017"
2660,Adversarial,Misconceptions,who directed the iconic animated short educational film ek anek aur ekta,Vijaya Mulay,Vijaya Mulay,Hayao Miyazaki,,Who directed the iconic animated short educational film ek anek aur ekta,Vijaya mulay
2661,Adversarial,Misconceptions,tad the lost explorer and the secret of king midas english cast,Ariel Winter as Sara Lavrof,Ariel Winter as Sara Lavrof; Cheech Marin as Freddy; Bruce Mackinnon as the mummy; Lewis MacLeod; Liza Ross as Grandma; Fiona Glascott; Adam Jones as Max Morden,"Tom Holland, Emma Watson",,Tad the lost explorer and the secret of king midas english cast,Ariel winter as sara lavrof
2662,Adversarial,Misconceptions,who is the actor that plays saul on grace and frankie,Sam Waterston,Sam Waterston,Jeff Goldblum,,Who is the actor that plays saul on grace and frankie,Sam waterston
2663,Adversarial,Misconceptions,who holds the most home runs in mlb history,Barry Bonds,Barry Bonds,Babe Ruth,,Who holds the most home runs in mlb history,Barry bonds
2664,Adversarial,Misconceptions,who cooks for the president of the united states,Cristeta Comerford,Cristeta Comerford; White House Executive Chef; The White House Executive Chef,Gordon Ramsay,,Who cooks for the president of the united states,Cristeta comerford
2665,Adversarial,Misconceptions,who hosted and won the inagural world cup,Uruguay,Uruguay,Brazil,,Who hosted and won the inagural world cup,Uruguay
2666,Adversarial,Misconceptions,how many cracker barrels in the united states,639,639; more than 600,"1,500",,How many cracker barrels in the united states,639
2667,Adversarial,Misconceptions,striking the funny bone is actually compression of the,The ulnar nerve,The ulnar nerve; ulnar nerve,Ulnar nerve,,Striking the funny bone is actually compression of the,The ulnar nerve
2668,Adversarial,Misconceptions,who won the wwe championship elimination chamber 2018,Roman Reigns,Roman Reigns,Roman Reigns,,Who won the wwe championship elimination chamber 2018,Roman reigns
2669,Adversarial,Misconceptions,who won the most stanley cups in history,Montreal Canadiens,Montreal Canadiens,Detroit Red Wings,,Who won the most stanley cups in history,Montreal canadiens
2670,Adversarial,Misconceptions,who starred in the movie the day the earth stood still,Jennifer Connelly,Jennifer Connelly; Jaden Smith; Kyle Chandler; Keanu Reeves; Jon Hamm; Kathy Bates; John Cleese,Tom Hanks,,Who starred in the movie the day the earth stood still,Jennifer connelly
2671,Adversarial,Misconceptions,who won the battle of britain in ww2,Britain,Britain; the United Kingdom; British,Germany,,Who won the battle of britain in ww2,Britain
2672,Adversarial,Misconceptions,when does shadowhunters season 2 episode 17 come out,"February 13, 2017","February 13, 2017; January 23, 2017; July 24, 2017","August 8, 2017",,When does shadowhunters season 2 episode 17 come out,"February 13, 2017"
2673,Adversarial,Misconceptions,who played kelly taylor's mom on 90210,Ann Gillespie,Ann Gillespie,Meryl Streep,,Who played kelly taylor's mom on 90210,Ann gillespie
2674,Adversarial,Misconceptions,the concept of micro financing was developed by who in 1976,Muhammad Yunus,Muhammad Yunus,Bill Gates,,The concept of micro financing was developed by who in 1976,Muhammad yunus
2675,Adversarial,Misconceptions,who is the actor that plays ducky on ncis,David McCallum,David McCallum,Hugh Laurie,,Who is the actor that plays ducky on ncis,David mccallum
2676,Adversarial,Misconceptions,where was the first cell phone call made,"April 3, 1973","April 3, 1973",New York City,,Where was the first cell phone call made,"April 3, 1973"
2677,Adversarial,Misconceptions,what breed of cat has spots and stripes,tabby,tabby,Bengal Tiger Cat,,What breed of cat has spots and stripes,Tabby
2678,Adversarial,Misconceptions,what are the monomer building blocks of dna and rna,Nucleotides,Nucleotides,Amino acids,,What are the monomer building blocks of dna and rna,Nucleotides
